Wall time,Step,Value
1551562916.0162153,13,1907.4583740234375
1551563155.4007916,53,1904.0416259765625
1551563396.092161,92,1908.2916259765625
1551563515.7332737,112,1906.2916259765625
1551563636.1089728,132,1908.4166259765625
1551563756.2091362,152,1906.375
1551563876.187332,172,1909.9583740234375
1551563996.6550643,192,1907.5416259765625
1551564116.4870598,212,1904.75
1551564236.4155512,232,1908.4166259765625
1551564356.5373845,252,1906.1666259765625
1551564476.1471448,272,1905.2916259765625
1551564596.112757,291,1908.25
1551564715.5870256,311,1908.125
1551564835.4222844,331,1908.75
1551564956.1119668,351,1908.25
1551565076.1585371,371,1906.25
1551565196.5351548,391,1907.5833740234375
1551565316.3691378,411,1905.3333740234375
1551565436.4387977,431,1906.5833740234375
1551565556.3395658,451,1907.2083740234375
1551565675.8405452,470,1904.4166259765625
1551565795.9319487,490,1908.2083740234375
1551566035.9954684,530,1907.3333740234375
1551566396.5642512,590,1903.3333740234375
1551566515.8523865,609,1906.75
1551566635.5829186,629,1910.125
1551566755.6428823,649,1907.6666259765625
1551566875.7948806,669,1906.5833740234375
1551567116.4328718,709,1906.7916259765625
1551567236.0670967,728,1905.5833740234375
1551567356.1384,748,1902.9166259765625
1551567476.2571254,768,1910.9166259765625
1551567596.7400472,788,1906.75
1551567835.4991903,827,1905.5833740234375
1551567955.7243135,847,1906.5833740234375
1551568076.0727382,867,1906.25
1551568196.4624243,887,1908.875
1551568316.4987984,907,1905.375
1551568436.267018,927,1908.75
1551568675.5939398,966,1903.125
1551568795.8741915,986,1904.9166259765625
1551569036.3895621,1026,1906.7916259765625
1551569156.3930044,1046,1903.1666259765625
1551569276.5306644,1066,1905.9166259765625
1551569396.9278288,1086,1908.0833740234375
1551569516.251037,1106,1909.7083740234375
1551569635.7134588,1125,1907.75
1551569875.5741255,1165,1907.5416259765625
1551569996.1643918,1185,1905.0833740234375
1551570116.2439976,1205,1908.2083740234375
1551570236.4314163,1225,1904.2083740234375
1551570356.4481611,1245,1906.875
1551570476.3912015,1265,1906.875
1551570596.8257523,1285,1904.75
1551570716.0459735,1304,1905.75
1551570836.0932982,1324,1906.9166259765625
1551570956.014403,1344,1906.6666259765625
1551571075.6425455,1364,1902.9166259765625
1551571315.7511683,1404,1904.75
1551571435.8847587,1424,1905.4583740234375
1551571556.1280894,1444,1907.9166259765625
1551571676.098255,1464,1908.9583740234375
1551571916.3119237,1504,1906.75
1551572036.4189892,1524,1909.75
1551572156.28627,1544,1905.875
1551572276.3807466,1564,1910.5416259765625
1551572516.217083,1604,1908.0833740234375
1551572636.5048053,1624,1903.375
1551572876.4683685,1664,1905.25
1551572996.6809685,1684,1908.2083740234375
1551573115.8825548,1703,1909.125
1551573236.007672,1723,1906.6666259765625
1551573355.9712534,1743,1909.4166259765625
1551573475.6820076,1763,1908.4166259765625
1551573715.5299528,1803,1907.125
1551573835.6171772,1823,1906.7916259765625
1551573955.5435648,1843,1905.3333740234375
1551574075.4026656,1863,1908.3333740234375
1551574315.583624,1903,1907.375
1551574435.7593896,1923,1910.2083740234375
1551574675.9661818,1963,1905.6666259765625
1551574796.520874,1983,1906.7916259765625
1551574916.1983094,2003,1905.7083740234375
1551575036.2538981,2023,1905.7916259765625
1551575156.5416207,2043,1908.7916259765625
1551575276.3151028,2063,1903.0833740234375
1551575396.647095,2083,1905.4583740234375
1551575516.41938,2103,1906.75
1551575756.4813106,2143,1907.2083740234375
1551575876.2918224,2163,1908.4166259765625
1551575996.6722555,2183,1909.125
1551576116.4642498,2203,1907.375
1551576356.4897463,2243,1903.1666259765625
1551576476.3955867,2263,1907.0833740234375
1551576596.6501238,2283,1902.0416259765625
1551576716.2499435,2303,1907.7083740234375
1551576836.315123,2323,1906.0416259765625
1551576956.2592237,2343,1905.0416259765625
1551577076.274881,2363,1909.4166259765625
1551577196.5436122,2383,1904.75
1551577316.0931811,2403,1907.0833740234375
1551577436.160807,2423,1908.5
1551577556.2199812,2443,1907.1666259765625
1551577676.1743352,2463,1905.7916259765625
1551577796.5711596,2483,1906.5833740234375
1551577916.2998471,2503,1906.5833740234375
1551578036.2297971,2523,1909.375
1551578276.1718915,2563,1904.375
1551578396.5797436,2583,1908.0
1551578756.4931934,2643,1906.0
1551578876.455621,2663,1906.0416259765625
1551579116.359484,2703,1908.125
1551579236.3962514,2723,1908.8333740234375
1551579476.6144085,2763,1907.5416259765625
1551579716.4045992,2803,1906.9166259765625
1551579836.170977,2823,1909.9583740234375
1551579956.1825528,2843,1908.0
1551580076.329875,2863,1905.6666259765625
1551580196.7501128,2883,1905.4583740234375
1551580316.3209882,2903,1908.6666259765625
1551580556.2965567,2943,1906.625
1551580676.2146227,2963,1908.4166259765625
1551580796.2285812,2983,1905.5
1551580916.2084434,3003,1908.9583740234375
1551581156.46476,3043,1904.9583740234375
1551581276.079771,3063,1906.5833740234375
1551581396.4630969,3083,1910.5416259765625
1551581636.1952965,3123,1909.7916259765625
1551581756.2333753,3143,1905.2916259765625
1551581876.3043308,3163,1905.0416259765625
1551582116.3386962,3203,1908.6666259765625
1551582236.4094505,3223,1907.2916259765625
1551582476.3466585,3263,1908.9583740234375
1551582596.678959,3283,1907.4166259765625
1551582836.1968224,3323,1903.7083740234375
1551582956.1436253,3343,1906.2083740234375
1551583076.2456017,3363,1901.3333740234375
1551583316.1348178,3403,1905.6666259765625
1551583436.105506,3423,1906.875
1551583556.0357838,3443,1907.5
1551583796.392772,3483,1908.8333740234375
1551583916.2118855,3503,1905.4166259765625
1551584036.0697253,3523,1906.5416259765625
1551584156.0375369,3543,1906.2083740234375
1551584396.404382,3583,1905.8333740234375
1551584516.2116358,3603,1904.6666259765625
1551584636.1780221,3623,1906.25
1551584756.312484,3643,1907.375
1551584876.495692,3663,1908.5
1551584996.6848605,3683,1904.4583740234375
1551585116.2782898,3703,1905.8333740234375
1551585236.3021924,3723,1907.2916259765625
1551585356.4868243,3743,1905.0833740234375
1551585596.6835876,3783,1903.2916259765625
1551585716.2467833,3803,1905.2083740234375
1551586076.1490815,3863,1904.5
1551586555.8692024,3943,1909.0833740234375
1551586675.741608,3963,1906.9583740234375
1551586915.8177354,4003,1906.0416259765625
1551587035.9108508,4023,1907.125
1551587155.878309,4043,1909.9166259765625
1551587396.2940018,4083,1905.3333740234375
1551587516.381202,4103,1908.0416259765625
1551587636.1224773,4123,1907.375
1551587756.192689,4143,1904.5833740234375
1551587876.0422332,4163,1907.875
1551588235.981409,4223,1903.75
1551588356.0239494,4243,1908.25
1551588475.8070793,4263,1906.0833740234375
1551588596.492312,4283,1907.9166259765625
1551588715.9617445,4303,1908.875
1551588836.0540001,4323,1908.375
1551588956.148105,4343,1907.125
1551589075.8791645,4363,1906.0833740234375
1551589196.4141877,4383,1908.0416259765625
1551589315.9164884,4403,1905.25
1551589436.0241587,4423,1908.2916259765625
1551589556.439982,4443,1909.375
1551589796.6812587,4482,1907.625
1551589915.561528,4501,1906.8333740234375
1551590036.684019,4521,1906.625
1551590276.5351648,4560,1907.2916259765625
1551590396.1004665,4579,1907.9583740234375
1551590516.080332,4599,1909.9583740234375
1551590635.6691523,4618,1908.0416259765625
1551590756.6781409,4638,1903.875
1551590875.749498,4657,1905.9166259765625
1551590996.8051217,4677,1908.7916259765625
1551591235.7885659,4715,1904.875
1551591356.1485085,4735,1908.4166259765625
1551591596.597355,4774,1906.75
1551591715.748456,4793,1906.7083740234375
1551591836.158963,4813,1905.2916259765625
1551592075.5373607,4851,1907.5
1551592196.348658,4871,1906.7083740234375
1551592316.5065427,4891,1903.1666259765625
1551592436.011912,4910,1906.125
1551592555.6766965,4930,1906.25
1551592676.1943433,4950,1903.8333740234375
1551592796.6503806,4970,1906.0416259765625
1551592916.1368191,4989,1906.3333740234375
1551593035.7790601,5009,1904.875
1551593156.3700259,5029,1903.0
1551593276.3260195,5049,1907.7083740234375
1551593396.052983,5068,1902.7916259765625
1551593515.732444,5088,1908.0
1551593756.2038836,5128,1903.8333740234375
1551593875.7619116,5147,1905.2083740234375
1551593995.95784,5167,1905.4583740234375
1551594116.1800869,5187,1908.5833740234375
1551594355.7259867,5226,1903.5833740234375
1551594475.5026252,5246,1905.7083740234375
1551594596.5212212,5266,1908.3333740234375
1551594836.0340002,5305,1906.8333740234375
1551595075.9952137,5345,1907.0
1551595316.0551345,5384,1906.2916259765625
1551595435.5031445,5404,1906.0833740234375
1551595555.7139912,5424,1907.0
1551595676.270098,5444,1907.4166259765625
1551595796.859271,5464,1906.25
1551596035.433583,5503,1907.3333740234375
1551596156.0366297,5523,1908.4583740234375
1551596276.5053518,5543,1909.25
1551596396.303339,5562,1904.1666259765625
1551596515.6256826,5582,1906.0416259765625
1551596636.0861752,5602,1908.7916259765625
1551596756.49111,5622,1904.9166259765625
1551596875.9953303,5641,1905.3333740234375
1551597475.7646916,5740,1908.5833740234375
1551597716.3160453,5780,1905.6666259765625
1551597836.2992227,5800,1903.0416259765625
1551598075.5798645,5839,1899.1666259765625
1551598196.5134785,5859,1907.0833740234375
1551598316.5083625,5879,1906.5833740234375
1551598435.8522782,5898,1911.3333740234375
1551598555.7462249,5918,1905.625
1551598676.2116413,5938,1908.9166259765625
1551598796.9537616,5958,1903.875
1551598915.8658752,5977,1909.0833740234375
1551599035.7817686,5997,1904.125
1551599156.151626,6017,1905.75
1551599276.3245807,6037,1903.4583740234375
1551599636.2868013,6096,1906.2916259765625
1551599756.1270063,6116,1907.2083740234375
1551599875.76039,6135,1908.4166259765625
1551599995.865788,6155,1905.125
1551600116.3077257,6175,1907.75
1551600356.2271335,6215,1906.3333740234375
1551600475.5552742,6234,1906.1666259765625
1551600595.9015958,6254,1906.1666259765625
1551600716.4396102,6274,1903.0416259765625
1551600836.23695,6294,1908.75
1551600956.0260556,6313,1908.5416259765625
1551601075.5403156,6333,1906.9166259765625
1551601196.235977,6353,1906.2083740234375
1551601316.39919,6373,1906.0
1551601436.4382799,6393,1908.5833740234375
1551601556.3464682,6413,1904.375
1551601675.4898314,6432,1903.5
1551601796.19434,6452,1909.0
1551601916.3330503,6472,1908.125
1551602036.5885665,6492,1908.0833740234375
1551602155.9364386,6511,1903.1666259765625
1551602396.1734822,6551,1907.2083740234375
1551602516.254365,6571,1905.5
1551602756.30797,6611,1909.4166259765625
1551602995.8059564,6650,1905.5
1551603236.4911537,6690,1908.75
1551603356.1054738,6710,1907.8333740234375
1551603476.0744133,6729,1906.25
1551603595.9357796,6749,1903.5416259765625
1551603716.0669901,6769,1904.625
1551603836.3213692,6789,1909.25
1551603956.4004867,6809,1906.3333740234375
1551604076.4506454,6829,1908.0833740234375
1551604196.2395203,6848,1910.125
1551604315.6884954,6868,1903.375
1551604435.5360003,6888,1902.125
1551604556.0496867,6908,1908.875
1551604676.1639812,6928,1908.8333740234375
1551604796.7762642,6948,1908.4166259765625
1551604916.4655545,6968,1906.0833740234375
1551605036.2257395,6988,1909.5833740234375
1551605155.792858,7007,1909.5
1551605275.5108619,7027,1909.6666259765625
1551605395.9002068,7047,1907.6666259765625
1551605516.1368468,7067,1906.3333740234375
1551605636.2678418,7087,1906.75
1551605756.353877,7107,1906.8333740234375
1551605876.3777463,7127,1904.0
1551605996.6685927,7147,1907.7916259765625
1551606116.4452395,7167,1903.7916259765625
1551606236.4778473,7187,1910.5416259765625
1551606356.4737227,7207,1908.8333740234375
1551606476.476479,7227,1908.875
1551606596.6672997,7247,1907.9166259765625
1551606716.0703433,7266,1902.2083740234375
1551606836.0852003,7286,1908.6666259765625
1551606956.111763,7306,1909.25
1551607196.0778217,7346,1905.375
1551607315.4945078,7366,1909.3333740234375
1551607555.8208013,7406,1904.5833740234375
1551607676.117099,7426,1905.25
1551607796.487803,7446,1908.0
1551607916.2785835,7466,1903.625
1551608036.2482226,7486,1905.0416259765625
1551608156.32624,7506,1905.5833740234375
1551608276.3626182,7526,1909.5833740234375
1551608516.4973128,7566,1907.75
1551608636.495798,7586,1909.25
